MLS Number,address_new,lat,lng
DENC504530,"2714 East Riding  Wilmington, DE",39.7234823,-75.68137639999999
DENC500552,"2621 Pike Creek  Wilmington, DE",39.7133371,-75.688761
DENC508702,"3010 Faulkland  Wilmington, DE",39.7473333,-75.6385157
DENC523586,"7 Barbara  Wilmington, DE",39.7075322,-75.6747413
DENC522948,"113 Attic  Wilmington, DE",39.74403,-75.7002461
DENC522426,"182 Gregg  Wilmington, DE",39.7489393,-75.69817859999999
DENC506868,"2502 Maple  Wilmington, DE",39.744655,-75.5483909
DENC499846,"2611 Bardell  Wilmington, DE",39.7376489,-75.6593795
DENC499846,"2611 Bardell  Wilmington, DE",39.7376489,-75.6593795
DENC521774,"2611 Bardell  Wilmington, DE",39.7376489,-75.6593795
DENC521774,"2611 Bardell  Wilmington, DE",39.7376489,-75.6593795
DENC498754,"22 Duvall  Wilmington, DE",39.7402258,-75.6670152
DENC500736,"29 Milltown  Wilmington, DE",39.7409423,-75.6413341
DENC489694,"416 Riblett  Wilmington, DE",39.755109,-75.66763
DENC497312,"2715 Tanager  Wilmington, DE",39.7507374,-75.6301512
DENC520984,"2606 Darby  Wilmington, DE",39.7374185,-75.65315249999999
DENC522740,"1114 Ipswich  Wilmington, DE",39.7367066,-75.6622429
DENC522200,"2648 Stephenson  Wilmington, DE",39.72531559999999,-75.6780589
DENC505134,"2410 Cedar  Wilmington, DE",39.744655,-75.5483909
DENC504582,"1001 Elderon  Wilmington, DE",39.740946,-75.6697648
DENC504582,"1001 Elderon  Wilmington, DE",39.740946,-75.6697648
DENC2015972,"1001 Elderon  Wilmington, DE",39.740946,-75.6697648
DENC2015972,"1001 Elderon  Wilmington, DE",39.740946,-75.6697648
DENC498380,"202 Niagara Falls  Wilmington, DE",39.7599858,-75.62858279999999
DENC521046,"4621 Griffin  Wilmington, DE",39.7240477,-75.663561
DENC522118,"2621 Heritage Farm  Wilmington, DE",39.7195692,-75.67724090000002
DENC522890,"3533 Hopkins  Wilmington, DE",39.7313587,-75.6740142
DENC500972,"3005 Ridgevale  Wilmington, DE",39.723262,-75.68937439999999
DENC522312,"1 Waxwing  Wilmington, DE",39.7524468,-75.6311968
DENC508192,"1214 Ipswich  Wilmington, DE",39.7347245,-75.6634246
DENC503136,"9 Plover  Wilmington, DE",39.7506665,-75.6284919
DENC524174,"4706 Old Capitol  Wilmington, DE",39.7221459,-75.6594255
